PATH;FC;FM;PC;START;END
argouml-app/src/org/argouml/ocl/OCLUtil.java;true;true;true;1;119
argouml-app/src/org/argouml/ocl/ArgoFacade.java;true;true;true;1;492
argouml-app/src/org/argouml/ocl/ArgoFacade.java;true;LOGGING;LOGGING;33;38
argouml-app/src/org/argouml/ocl/ArgoFacade.java;true;LOGGING;LOGGING;108;116
argouml-app/src/org/argouml/ocl/ArgoFacade.java;true;LOGGING;LOGGING;314;323
argouml-app/src/org/argouml/ocl/ArgoFacade.java;true;LOGGING;LOGGING;330;337
argouml-app/src/org/argouml/ocl/ArgoFacade.java;true;LOGGING;LOGGING;398;406
argouml-app/src/org/argouml/ocl/ArgoFacade.java;true;LOGGING;LOGGING;460;471
argouml-app/src/org/argouml/ocl/OCLEvaluator.java;true;true;true;1;131
argouml-app/src/org/argouml/ocl/CriticOclEvaluator.java;true;true;true;1;87
argouml-app/src/org/argouml/ocl/OCLExpander.java;true;true;true;1;50
argouml-app/src/org/argouml/application/Main.java;true;true;true;1;1315
argouml-app/src/org/argouml/application/Main.java;true;LOGGING;LOGGING;51;58
argouml-app/src/org/argouml/application/Main.java;true;COGNITIVE;COGNITIVE;67;76
argouml-app/src/org/argouml/application/Main.java;true;ACTIVITYDIAGRAM;ACTIVITYDIAGRAM;99;104
argouml-app/src/org/argouml/application/Main.java;true;COLLABORATIONDIAGRAM;COLLABORATIONDIAGRAM;109;114
argouml-app/src/org/argouml/application/Main.java;true;DEPLOYMENTDIAGRAM;DEPLOYMENTDIAGRAM;119;124
argouml-app/src/org/argouml/application/Main.java;true;SEQUENCEDIAGRAM;SEQUENCEDIAGRAM;129;134
argouml-app/src/org/argouml/application/Main.java;true;STATEDIAGRAM;STATEDIAGRAM;139;144
argouml-app/src/org/argouml/application/Main.java;true;USECASEDIAGRAM;USECASEDIAGRAM;151;156
argouml-app/src/org/argouml/application/Main.java;true;LOGGING;LOGGING;180;192
argouml-app/src/org/argouml/application/Main.java;true;LOGGING;LOGGING;223;229
argouml-app/src/org/argouml/application/Main.java;true;COGNITIVE;COGNITIVE;307;314
argouml-app/src/org/argouml/application/Main.java;true;LOGGING;LOGGING;326;337
argouml-app/src/org/argouml/application/Main.java;true;LOGGING;LOGGING;349;357
argouml-app/src/org/argouml/application/Main.java;true;LOGGING;LOGGING;366;370
argouml-app/src/org/argouml/application/Main.java;true;LOGGING;LOGGING;394;399
argouml-app/src/org/argouml/application/Main.java;true;COGNITIVE;COGNITIVE;415;431
argouml-app/src/org/argouml/application/Main.java;true;ACTIVITYDIAGRAM;ACTIVITYDIAGRAM;550;555
argouml-app/src/org/argouml/application/Main.java;true;COLLABORATIONDIAGRAM;COLLABORATIONDIAGRAM;560;565
argouml-app/src/org/argouml/application/Main.java;true;DEPLOYMENTDIAGRAM;DEPLOYMENTDIAGRAM;570;575
argouml-app/src/org/argouml/application/Main.java;true;SEQUENCEDIAGRAM;SEQUENCEDIAGRAM;580;585
argouml-app/src/org/argouml/application/Main.java;true;STATEDIAGRAM;STATEDIAGRAM;590;595
